Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
072710KB11,2010-07-27,WEST FORDHAM STREET ASSOCIATION,Center,20,MPN/100 ml
050107IM10,2007-05-01,WHITE CROSS FISHING CLUB,Left,12,MPN/100 ml
081412GR14,2012-08-14,MANHEM BEACH CLUB,Center,4,MPN/100 ml
082813GR06,2013-08-28,KINGSBOROUGH COMMUNITY COLLEGE,Right,16,MPN/100 ml
050415CP16,2015-05-04,SOUTH BEACH,Center,4,MPN/100 ml
070506ZK24,2006-07-05,SCHUYLER HILL CIVIC ASSOCIATION,Right,12,MPN/100 ml
090115SM04,2015-09-01,WHITE CROSS FISHING CLUB,Left,16,MPN/100 ml
082207NR01,2007-08-22,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,560,MPN/100 ml
070213CP04,2013-07-02,ROCKAWAY BEACH 59TH - 80TH,Center,8,MPN/100 ml
083115SM08,2015-08-31,MANHATTAN BEACH,Center,8,MPN/100 ml
071706JR08,2006-07-17,SEAGATE BEACH - 38TH STREET,Center,4,MPN/100 ml
080415GR11,2015-08-04,DANISH AMERICAN BEACH CLUB,Center,20,MPN/100 ml
072011KB17,2011-07-20,CONEY ISLAND WEST 28TH - WEST 37TH,Center,4,MPN/100 ml
083016JL13,2016-08-30,DANISH AMERICAN BEACH CLUB,Right,4,MPN/100 ml
051413KB05,2013-05-14,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,20,MPN/100 ml
071712GR12,2012-07-17,DANISH AMERICAN BEACH CLUB,Right,92,MPN/100 ml
062607GR04,2007-06-26,MANHATTAN BEACH,Left,12,MPN/100 ml
071607BH21,2007-07-16,WHITE CROSS FISHING CLUB,Right,4,MPN/100 ml
072506NG02,2006-07-25,SOUTH BEACH,Center,4,MPN/100 ml
061714GR10,2014-06-17,DANISH AMERICAN BEACH CLUB,Left,44,MPN/100 ml
090506BH18,2006-09-05,SEAGATE BEACH - 42ND STREET,Right,8,MPN/100 ml
042914KB15,2014-04-29,MORRIS YACHT AND BEACH CLUB,Right,8,MPN/100 ml
061213KB14,2013-06-12,WEST FORDHAM STREET ASSOCIATION,Center,84,MPN/100 ml
081711GR08,2011-08-17,MANHATTAN BEACH,Center,4,MPN/100 ml
050813KB05,2013-05-08,WOLFE'S POND PARK,Center,32,MPN/100 ml
080910GR03,2010-08-09,GERRITSEN/KIDDIE BEACH,Right,16,MPN/100 ml
081811GR14,2011-08-18,MANHEM BEACH CLUB,Center,4,MPN/100 ml
042109IM14,2009-04-21,MANHEM BEACH CLUB,Center,640,MPN/100 ml
071107BH04,2007-07-11,SI YMCA OF GREATER NEW YORK,Left,8,MPN/100 ml
052609KB02,2009-05-26,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,180,MPN/100 ml
081710SG12,2010-08-17,SI YMCA OF GREATER NEW YORK,Left,640,MPN/100 ml
060915GR15,2015-06-09,MANHEM BEACH CLUB,Right,16,MPN/100 ml
082113CP06,2013-08-21,CEDAR GROVE,Right,68,MPN/100 ml
